,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q2_Q4_0.5,0.23735 ± 0.002,0.17999 ± 0.004,0.15958 ± 0.004,0.75872 ± 1.088,0.15829 ± 0.003,0.19962 ± 0.003,0.14729 ± 0.008,0.26962 ± 0.006,0.16635 ± 0.005,0.17649 ± 0.003,0.27619 ± 0.004,0.25954 ± 0.002
Q3_Q4_0.5,0.26228 ± 0.003,0.19284 ± 0.004,0.16573 ± 0.002,0.21206 ± 0.003,0.16431 ± 0.003,0.22181 ± 0.003,0.14819 ± 0.003,0.32370 ± 0.008,0.17552 ± 0.002,0.19002 ± 0.003,0.29139 ± 0.008,0.28038 ± 0.003
Q1_0.5,0.27673 ± 0.006,0.18186 ± 0.006,0.14255 ± 0.003,4.01713 ± 5.047,0.14662 ± 0.004,0.22087 ± 0.005,0.15316 ± 0.019,0.26839 ± 0.029,0.15090 ± 0.004,0.14610 ± 0.004,0.22705 ± 0.027,0.29384 ± 0.006
Q2_0.5,0.11479 ± 0.002,0.11889 ± 0.001,0.10210 ± 0.003,0.18238 ± 0.048,0.10078 ± 0.002,0.10489 ± 0.002,0.08681 ± 0.002,0.14545 ± 0.011,0.10248 ± 0.002,0.10278 ± 0.002,0.13598 ± 0.011,0.14976 ± 0.003
Q3_0.5,0.08897 ± 0.001,0.13436 ± 0.001,0.10529 ± 0.003,0.15430 ± 0.006,0.11581 ± 0.004,0.10421 ± 0.002,0.09493 ± 0.001,0.16183 ± 0.007,0.11556 ± 0.001,0.11992 ± 0.001,0.17906 ± 0.007,0.13478 ± 0.003
Q4_0.5,0.33688 ± 0.002,0.22926 ± 0.007,0.16738 ± 0.004,0.21321 ± 0.010,0.19797 ± 0.003,0.27291 ± 0.004,0.18218 ± 0.024,0.34013 ± 0.017,0.21549 ± 0.005,0.23542 ± 0.006,0.38893 ± 0.015,0.35032 ± 0.005
Q1_Q2_0.75,0.27531 ± 0.005,0.20480 ± 0.003,0.18410 ± 0.001,0.24623 ± 0.006,0.17036 ± 0.004,0.25717 ± 0.003,0.16964 ± 0.011,0.35764 ± 0.022,0.17425 ± 0.002,0.16384 ± 0.001,0.21623 ± 0.017,0.29246 ± 0.006
Q1_Q3_0.75,0.21044 ± 0.006,0.16633 ± 0.002,0.15100 ± 0.002,0.21546 ± 0.006,0.14956 ± 0.002,0.18989 ± 0.003,0.13887 ± 0.002,0.28761 ± 0.012,0.14989 ± 0.002,0.14626 ± 0.002,0.21113 ± 0.011,0.23298 ± 0.005
Q1_Q4_0.75,0.27804 ± 0.003,0.24910 ± 0.001,0.21127 ± 0.002,0.25432 ± 0.004,0.22243 ± 0.007,0.26841 ± 0.003,0.19587 ± 0.003,0.31957 ± 0.005,0.22184 ± 0.002,0.22757 ± 0.002,0.30565 ± 0.004,0.29620 ± 0.004
Q2_Q3_0.75,0.10054 ± 0.003,0.14812 ± 0.001,0.11134 ± 0.002,0.21138 ± 0.006,0.15191 ± 0.002,0.11873 ± 0.003,0.12095 ± 0.002,0.30038 ± 0.017,0.12799 ± 0.001,0.12995 ± 0.003,0.15691 ± 0.004,0.14162 ± 0.002
Q2_Q4_0.75,0.24998 ± 0.004,0.20810 ± 0.002,0.18839 ± 0.003,0.25216 ± 0.006,0.18156 ± 0.002,0.23610 ± 0.004,0.16663 ± 0.003,0.36857 ± 0.003,0.19105 ± 0.004,0.20302 ± 0.002,0.27027 ± 0.002,0.26888 ± 0.004
Q3_Q4_0.75,0.29833 ± 0.004,0.24496 ± 0.005,0.20770 ± 0.002,0.26720 ± 0.004,0.20847 ± 0.003,0.28298 ± 0.003,0.19671 ± 0.015,0.45095 ± 0.009,0.21476 ± 0.005,0.24296 ± 0.003,0.28228 ± 0.004,0.31556 ± 0.005
Q1_0.75,0.30159 ± 0.006,0.21063 ± 0.005,0.17383 ± 0.004,0.22804 ± 0.005,0.17202 ± 0.003,0.26950 ± 0.004,0.16572 ± 0.001,0.34762 ± 0.016,0.18060 ± 0.002,0.16761 ± 0.004,0.24471 ± 0.025,0.31817 ± 0.008
Q2_0.75,0.12251 ± 0.003,0.13327 ± 0.003,0.11647 ± 0.003,0.16404 ± 0.002,0.11633 ± 0.001,0.11375 ± 0.002,0.10162 ± 0.001,0.19603 ± 0.023,0.10937 ± 0.002,0.10765 ± 0.002,0.13888 ± 0.011,0.15779 ± 0.005
Q3_0.75,0.09396 ± 0.002,0.14280 ± 0.004,0.12516 ± 0.004,0.17206 ± 0.007,0.13886 ± 0.004,0.11312 ± 0.002,0.10376 ± 0.003,0.20585 ± 0.012,0.12397 ± 0.002,0.12726 ± 0.004,0.17672 ± 0.009,0.13709 ± 0.002
Q4_0.75,0.35749 ± 0.003,0.27475 ± 0.003,0.22291 ± 0.003,0.30084 ± 0.036,0.23769 ± 0.002,0.33148 ± 0.003,0.23450 ± 0.017,0.44213 ± 0.009,0.25852 ± 0.003,0.28809 ± 0.007,0.37909 ± 0.013,0.37079 ± 0.005
Q1_Q2_1.0,0.33738 ± 0.005,0.31516 ± 0.007,0.30731 ± 0.003,559883650.00000 ± 1104520300.000,0.27446 ± 0.004,0.33316 ± 0.006,0.28593 ± 0.007,0.39380 ± 0.015,0.28452 ± 0.006,0.27478 ± 0.005,0.23003 ± 0.014,0.35244 ± 0.005
Q1_Q3_1.0,0.23955 ± 0.006,0.20520 ± 0.005,0.19847 ± 0.004,0.23910 ± 0.005,0.17599 ± 0.003,0.23608 ± 0.008,0.18055 ± 0.002,0.32493 ± 0.015,0.18517 ± 0.002,0.18260 ± 0.004,0.22197 ± 0.010,0.26002 ± 0.007
Q1_Q4_1.0,0.28030 ± 0.004,0.27857 ± 0.004,0.27153 ± 0.004,24169867000.00000 ± 48332850000.000,0.27518 ± 0.006,0.27934 ± 0.004,0.27073 ± 0.004,0.29981 ± 0.002,0.26845 ± 0.004,0.27033 ± 0.006,0.30410 ± 0.006,0.29737 ± 0.003
Q2_Q3_1.0,0.10806 ± 0.004,0.18236 ± 0.001,0.12201 ± 0.003,0.20999 ± 0.003,0.20075 ± 0.002,0.13073 ± 0.002,0.14936 ± 0.002,0.33288 ± 0.017,0.16102 ± 0.004,0.16569 ± 0.005,0.15845 ± 0.005,0.14612 ± 0.005
Q2_Q4_1.0,0.27091 ± 0.006,0.26321 ± 0.006,0.25201 ± 0.006,0.27667 ± 0.006,0.22416 ± 0.004,0.27465 ± 0.007,0.23328 ± 0.005,0.38141 ± 0.014,0.24224 ± 0.005,0.25559 ± 0.008,0.26815 ± 0.004,0.28952 ± 0.006
Q3_Q4_1.0,0.35691 ± 0.005,0.36128 ± 0.005,0.35067 ± 0.004,0.36054 ± 0.007,0.34250 ± 0.004,0.35792 ± 0.005,0.34598 ± 0.005,0.41562 ± 0.006,0.33762 ± 0.002,0.35424 ± 0.004,0.28259 ± 0.005,0.37135 ± 0.005
Q1_1.0,0.32291 ± 0.007,0.26560 ± 0.007,0.24553 ± 0.004,132164520.00000 ± 264317300.000,0.21425 ± 0.004,0.31005 ± 0.007,0.23121 ± 0.003,0.39622 ± 0.012,0.23023 ± 0.004,0.21664 ± 0.005,0.25158 ± 0.023,0.33623 ± 0.006
Q2_1.0,0.13077 ± 0.003,0.14450 ± 0.003,0.11553 ± 0.002,0.18633 ± 0.001,0.13844 ± 0.002,0.11988 ± 0.003,0.10797 ± 0.002,0.23186 ± 0.018,0.11882 ± 0.003,0.11493 ± 0.001,0.14348 ± 0.011,0.16365 ± 0.004
Q3_1.0,0.09926 ± 0.002,0.15812 ± 0.002,0.12749 ± 0.004,0.19709 ± 0.007,0.16445 ± 0.002,0.12248 ± 0.002,0.12039 ± 0.002,0.25716 ± 0.017,0.13781 ± 0.003,0.14504 ± 0.003,0.17282 ± 0.006,0.13929 ± 0.001
Q4_1.0,0.38355 ± 0.004,0.36023 ± 0.005,0.33346 ± 0.006,0.34685 ± 0.006,0.29984 ± 0.007,0.38344 ± 0.005,0.32919 ± 0.004,0.47478 ± 0.012,0.32987 ± 0.005,0.35785 ± 0.004,0.37664 ± 0.011,0.39742 ± 0.004
